"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"29",-9999,356,-9999,NA,NA,"NoData","NoData",NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1,1,1,79,0
"30",12,4437,12,NA,NA,"Perennial Ice/Snow","Perennial Ice/Snow",NA,NA,NA,NA,NA,NA,NA,NA,159,161,240,0.623529412,0.631372549,0.941176471,987,0
"31",415,40,10060,10,"10060","Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353,9,0
"32",416,3377,10110,10,"10110_6_10_12_17_18_19","Rocky Mountain Aspen Forest and Woodland","Hardwood",68,57,NA,31,46,54,NA,"I-C",255,255,115,1,1,0.450980392,751,0
"33",420,271,10460,10,"10460_10_19_20","Northern Rocky Mountain Subalpine Woodland and Parkland","Conifer",401,340,NA,184,46,54,NA,"III-B",255,170,0,1,0.666666667,0,60,0
"34",421,5459,10470,10,"10470_10_19","Northern Rocky Mountain Mesic Montane Mixed Conifer Forest","Conifer",186,139,NA,80,43,57,NA,"III-A",95,147,229,0.37254902,0.576470588,0.898039216,1214,0
"35",423,99,10530,10,"10530_10_19","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Conifer",354,56,17,13,4,23,73,"I-B",168,85,0,0.658823529,0.333333333,0,22,0
"36",429,21,10790,10,"10790_6_9_10_12_16_17_18","Great Basin Xeric Mixed Sagebrush Shrubland","Shrubland",94,831,NA,84,90,10,NA,"IV-A",57,194,207,0.223529412,0.760784314,0.811764706,5,0
"37",431,284,11060,10,"11060_10_19","Northern Rocky Mountain Montane-Foothill Deciduous Shrubland","Shrubland",100,446,NA,82,82,18,NA,"IV-A",137,68,80,0.537254902,0.266666667,0.31372549,63,0
"38",433,4,11230,10,"11230_10_18","Columbia Plateau Steppe and Grassland","Grassland",50,NA,NA,50,100,NA,NA,"IV-A",235,218,234,0.921568627,0.854901961,0.917647059,1,0
