model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
10451_10_19_UN,10451_10_19,UN,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,6,1501,10451,19,725543,0
10451_10_19_UE,10451_10_19,UE,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,417,7,244,10451,10,125289,0
10451_10_19_UE,10451_10_19,UE,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,456,7,10636,10451,19,725543,1
10452_10_19_A,10452_10_19,A,9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,1,46775,10452,10,550592,8
10452_10_19_A,10452_10_19,A,9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,1,100161,10452,19,895090,11
10452_10_19_B,10452_10_19,B,14,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,2,337332,10452,10,550592,61
10452_10_19_B,10452_10_19,B,14,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,2,546004,10452,19,895090,60
10452_10_19_C,10452_10_19,C,24,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,3,162266,10452,10,550592,29
10452_10_19_C,10452_10_19,C,24,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,3,219949,10452,19,895090,24
10452_10_19_D,10452_10_19,D,29,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,4,25,10452,10,550592,0
10452_10_19_D,10452_10_19,D,29,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,4,179,10452,19,895090,0
10452_10_19_E,10452_10_19,E,24,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,5,2417,10452,10,550592,0
10452_10_19_E,10452_10_19,E,24,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,5,12141,10452,19,895090,1
10452_10_19_Agriculture,10452_10_19,Agriculture,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,180,276,10452,10,550592,0
10452_10_19_Agriculture,10452_10_19,Agriculture,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,180,2330,10452,19,895090,0
10452_10_19_Developed,10452_10_19,Developed,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,120,916,10452,10,550592,0
10452_10_19_Developed,10452_10_19,Developed,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,120,6142,10452,19,895090,0
10452_10_19_Water,10452_10_19,Water,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,NA,NA,NA,NA,NA,NA,NA
10452_10_19_UN,10452_10_19,UN,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,NA,NA,NA,NA,NA,NA,NA
10452_10_19_UE,10452_10_19,UE,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,418,7,253,10452,10,550592,0
10452_10_19_UE,10452_10_19,UE,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,457,7,6708,10452,19,895090,0
10453_10_19_A,10453_10_19,A,14,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,1,1771,10453,10,12494,14
10453_10_19_A,10453_10_19,A,14,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,1,4380,10453,19,91891,4
10453_10_19_B,10453_10_19,B,17,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,2,8,10453,10,12494,0
10453_10_19_B,10453_10_19,B,17,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,2,169,10453,19,91891,0
10453_10_19_C,10453_10_19,C,32,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,3,113,10453,10,12494,0
10453_10_19_C,10453_10_19,C,32,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,3,869,10453,19,91891,0
10453_10_19_D,10453_10_19,D,17,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,4,4782,10453,10,12494,38
